token,address,first_block,latest_strategy,first_strategy_block
yCurve,0x5dbcF33D8c2E976c6b560249878e6F1491Bca25c,10559467, StrategyCurveYCRV,10657711
yUSDC,0x597aD1e0c13Bfe8025993D9e79C69E1c0233522e,10532757,StrategyDForceUSDC,10649302
yTUSD,0x37d19d1c4E1fa9DC47bD1eA12f742a0887eDa74a,10603460,StrategyMStableSavingsTUSD,10603524
yDAI,0xACd43E627e64355f1861cEC6d3a6688B31a6F952,10650214,StrategyDForceDAI,10656929
yaLINK,0x29E240CFD7946BA20895a7a02eDb25C210f9f324,10599650,StrategyVaultUSDC,10649178
yUSDT,0x2f08119C6f07c006695E079AAFc638b8789FAf18,10651849,StrategyDForceUSDT,10651849
yYFI,0xBA2E7Fed597fd0E3e70f5130BcDbbFE06bB94fe1,10695411,StrategyCreamYFI,10695411
yWSBTC,0x7Ff566E1d69DEfF32a7b244aE7276b9f90e9D0f6,10735429,StrategyCurveSBTC,10735429
yBUSD,0x2994529C0652D127b7842094103715ec5299bBed,10717062,StrategyCurveYBUSD,10717062
